,Ticker,Company,Current_Price,TTM_Dividend_per_Share,Dividend_Yield_%
0,KDP,Keurig Dr Pepper,28.69,122.87,428.268
1,PCG,PG&E Corporation,15.16,62.2,410.29
2,WY,Weyerhaeuser Company,21.69,85.8233,395.682
3,DOC,"Healthpeak Properties, Inc.",17.02,51.6643,303.551
4,MO,"Altria Group, Inc.",57.99,154.6272,266.645
5,HST,Host Hotels &,17.26,42.1931,244.456
6,T,AT&T Inc.,25.28,51.5642,203.973
7,BBWI,Bath & Body,18.83,36.8488,195.692
8,FMC,FMC Corporation,13.28,25.2306,189.989
9,ARE,Alexandria Real Estate,45.48,83.17,182.872
10,VZ,Verizon Communications Inc.,41.69,68.4292,164.138
11,C,Citigroup Inc.,108.88,174.5564,160.32
12,F,Ford Motor Company,13.03,20.1602,154.722
13,CAG,"Conagra Brands, Inc.",17.05,26.1207,153.201
14,KIM,Kimco Realty Corporation,20.13,30.2723,150.384
15,AIG,"American International Group,",77.03,112.4566,145.991
16,BXP,"BXP, Inc.",69.28,100.456,145.0
17,IP,International Paper Company,39.06,54.2348,138.85
18,CNP,"CenterPoint Energy, Inc.",38.43,52.6714,137.058
19,KEY,KeyCorp,19.26,26.3108,136.609
20,WHR,Whirlpool Corporation,76.06,103.52,136.103
21,VFC,V.F. Corporation,19.05,24.7212,129.77
22,CPB,The Campbell's Company,29.6,38.392,129.703
23,D,"Dominion Energy, Inc.",58.49,73.4193,125.525
24,BAX,Baxter International Inc.,18.54,22.5713,121.744
25,OXY,Occidental Petroleum Corporation,42.43,51.2685,120.831
26,PPL,PPL Corporation,33.86,40.5913,119.88
27,UDR,"UDR, Inc.",35.2,41.4555,117.771
28,EQR,Equity Residential,61.06,70.378,115.26
29,EIX,Edison International,58.09,66.2535,114.053
30,HBAN,Huntington Bancshares Incorporated,16.9,19.2231,113.746
31,PFE,Pfizer Inc.,26.03,29.4534,113.152
32,ED,"Consolidated Edison, Inc.",96.6,106.4554,110.202
33,FE,FirstEnergy Corp.,44.91,48.423,107.822
34,AEP,American Electric Power,117.54,124.688,106.081
35,EXC,Exelon Corporation,43.81,45.5853,104.052
36,FRT,Federal Realty Investment,97.2,99.935,102.814
37,REG,Regency Centers Corporation,68.7,66.902,97.383
38,O,Realty Income Corporation,58.48,56.6481,96.867
39,BEN,"Franklin Resources, Inc.",23.4,21.8179,93.239
40,BMY,Bristol-Myers Squibb Company,52.15,48.3521,92.717
41,RF,Regions Financial Corporation,26.28,24.3217,92.548
42,SLB,SLB N.V.,38.46,35.1483,91.389
43,DUK,Duke Energy Corporation,116.52,104.5283,89.708
44,DTE,DTE Energy Company,131.23,117.5234,89.555
45,EVRG,"Evergy, Inc.",73.28,65.2825,89.086
46,ES,Eversource Energy,66.74,59.044,88.469
47,GIS,"General Mills, Inc.",45.93,40.6268,88.454
48,CCL,Carnival Corporation &,25.87,22.6225,87.447
49,PNW,Pinnacle West Capital,88.17,76.196,86.419
50,CPT,Camden Property Trust,103.88,89.283,85.948
51,TFC,Truist Financial Corporation,47.53,40.8228,85.888
52,KMB,Kimberly-Clark Corporation,102.96,88.1378,85.604
53,SWK,Stanley Black &,72.47,60.3992,83.344
54,KHC,The Kraft Heinz,24.34,20.2,82.991
55,BKR,Baker Hughes Company,49.2,40.225,81.758
56,GEN,Gen Digital Inc.,27.09,21.975,81.118
57,RHI,Robert Half Inc.,26.8,21.1442,78.896
58,UPS,"United Parcel Service,",94.87,74.66,78.697
59,PEG,Public Service Enterprise,79.57,59.6413,74.955
60,SO,The Southern Company,86.28,63.9866,74.162
61,MAA,"Mid-America Apartment Communities,",131.67,96.59,73.358
62,HPQ,HP Inc.,25.91,18.9126,72.993
63,CVX,Chevron Corporation,150.0,109.3846,72.923
64,CLX,The Clorox Company,104.9,76.1787,72.62
65,SPG,"Simon Property Group,",182.56,130.5399,71.505
66,VTR,"Ventas, Inc.",80.61,57.5094,71.343
67,MDLZ,"Mondelez International, Inc.",54.91,39.093,71.201
68,IVZ,Invesco Ltd.,26.24,18.3238,69.832
69,MOS,The Mosaic Company,23.61,16.333,69.178
70,TAP,Molson Coors Beverage,45.13,31.099,68.91
71,APA,APA Corporation,27.1,18.4092,67.931
72,AVB,"AvalonBay Communities, Inc.",178.02,120.815,67.866
73,XEL,Xcel Energy Inc.,77.18,52.1688,67.594
74,OKE,"ONEOK, Inc.",76.34,51.5763,67.561
75,CMA,Comerica Incorporated,84.12,55.3956,65.853
76,USB,U.S. Bancorp,51.26,32.9652,64.31
77,XOM,Exxon Mobil Corporation,116.54,74.5635,63.981
78,SJM,The J. M.,100.11,63.8,63.73
79,HAL,Halliburton Company,28.45,18.0626,63.489
80,CE,Celanese Corporation,40.63,25.255,62.159
81,IPG,The Interpublic Group,24.57,15.181,61.787
82,LNT,Alliant Energy Corporation,65.5,40.3775,61.645
83,ETR,Entergy Corporation,94.22,57.7875,61.333
84,DVN,Devon Energy Corporation,37.47,22.977,61.321
85,CCI,Crown Castle Inc.,89.28,54.146,60.647
86,K,Kellanova,83.14,50.2401,60.428
87,AEE,Ameren Corporation,99.86,60.192,60.276
88,FIS,Fidelity National Information,66.66,40.07,60.111
89,KMI,"Kinder Morgan, Inc.",27.77,16.602,59.784
90,PSA,Public Storage,272.06,161.32,59.296
91,ESS,"Essex Property Trust,",255.37,150.744,59.03
92,MRK,"Merck & Co.,",99.72,58.2677,58.431
93,FITB,Fifth Third Bancorp,45.42,26.3016,57.908
94,COP,ConocoPhillips,93.69,54.0023,57.639
95,WYNN,"Wynn Resorts, Limited",125.51,71.0,56.569
96,OMC,Omnicom Group Inc.,73.44,40.7256,55.454
97,TROW,T. Rowe Price,106.58,58.1003,54.513
98,HRL,Hormel Foods Corporation,24.34,13.1674,54.098
99,BAC,Bank of America,53.95,29.01,53.772
100,PRU,"Prudential Financial, Inc.",111.68,59.025,52.852
101,GPC,Genuine Parts Company,130.24,68.1545,52.33
102,CMS,CMS Energy Corporation,71.09,37.157,52.268
103,TGT,Target Corporation,92.19,47.6662,51.704
104,MMM,3M Company,167.48,84.7255,50.588
105,PEP,"PepsiCo, Inc.",145.02,72.8075,50.205
106,WMB,"The Williams Companies,",62.81,31.2644,49.776
